model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,description
WeightedEnsemble_L3,-53.0731743886261,13.265573740005493,553.1424720287323,0.0007748603820800781,0.27741503715515137,3,True,14,baseline with raw features
RandomForestMSE_BAG_L2,-53.37041620071757,9.581156015396118,410.1680974960327,0.6009519100189209,26.182611227035522,2,True,12,baseline with raw features
LightGBM_BAG_L2,-55.160953725178764,9.202731847763062,408.6761770248413,0.22252774238586426,24.690690755844116,2,True,11,baseline with raw features
CatBoost_BAG_L2,-55.65238600039221,9.03839373588562,446.8590769767761,0.05818963050842285,62.87359070777893,2,True,13,baseline with raw features
LightGBMXT_BAG_L2,-60.285481674376115,12.383129596710205,439.1181643009186,3.402925491333008,55.13267803192139,2,True,10,baseline with raw features
KNeighborsDist_BAG_L1,-84.12506123181602,0.10378217697143555,0.029244422912597656,0.10378217697143555,0.029244422912597656,1,True,2,baseline with raw features
WeightedEnsemble_L2,-84.12506123181602,0.10452485084533691,0.5222873687744141,0.0007426738739013672,0.4930429458618164,2,True,9,baseline with raw features
KNeighborsUnif_BAG_L1,-101.54619908446061,0.10494709014892578,0.030969619750976562,0.10494709014892578,0.030969619750976562,1,True,1,baseline with raw features
RandomForestMSE_BAG_L1,-116.54429428704391,0.5213305950164795,10.616066694259644,0.5213305950164795,10.616066694259644,1,True,5,baseline with raw features
ExtraTreesMSE_BAG_L1,-124.58805258915959,0.5139386653900146,4.845773220062256,0.5139386653900146,4.845773220062256,1,True,7,baseline with raw features
CatBoost_BAG_L1,-130.50344119744508,0.0920724868774414,197.78226709365845,0.0920724868774414,197.78226709365845,1,True,6,baseline with raw features
LightGBM_BAG_L1,-131.054161598899,1.2898194789886475,29.443498373031616,1.2898194789886475,29.443498373031616,1,True,4,baseline with raw features
LightGBMXT_BAG_L1,-131.46090891834504,5.948354005813599,64.12523245811462,5.948354005813599,64.12523245811462,1,True,3,baseline with raw features
NeuralNetFastAI_BAG_L1,-137.59111927600816,0.4059596061706543,77.11243438720703,0.4059596061706543,77.11243438720703,1,True,8,baseline with raw features
