model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,description
WeightedEnsemble_L3,-37.16461971265789,0.001676321029663086,324.99944257736206,0.0008475780487060547,0.2369980812072754,3,True,9,scores with hpo
LightGBM_BAG_L2/T2,-37.42687054620608,0.0006163120269775391,211.0513596534729,0.00011420249938964844,30.060598611831665,2,True,7,scores with hpo
WeightedEnsemble_L4,-37.4367762777008,0.0019648075103759766,437.63174748420715,0.0007834434509277344,0.22970128059387207,4,True,13,scores with hpo
LightGBM_BAG_L2/T1,-37.43943528018074,0.0006275177001953125,211.8395345211029,0.00012540817260742188,30.84877347946167,2,True,6,scores with hpo
CatBoost_BAG_L2/T1,-37.64893598770706,0.0005891323089599609,263.85307240486145,8.702278137207031e-05,82.86231136322021,2,True,8,scores with hpo
LightGBM_BAG_L3/T2,-37.681726733460046,0.0009751319885253906,354.6327748298645,0.00014638900756835938,29.870330333709717,3,True,11,scores with hpo
CatBoost_BAG_L3/T1,-37.72601240702366,0.0009129047393798828,377.47971534729004,8.416175842285156e-05,52.717270851135254,3,True,12,scores with hpo
WeightedEnsemble_L5,-37.755128398672376,0.0022437572479248047,515.5077726840973,0.0008602142333984375,0.23276019096374512,5,True,17,scores with hpo
LightGBM_BAG_L3/T1,-37.77084072523132,0.0009508132934570312,354.8144450187683,0.0001220703125,30.052000522613525,3,True,10,scores with hpo
CatBoost_BAG_L4/T1,-37.828905692261465,0.0012998580932617188,484.964896440506,0.00011849403381347656,47.5628502368927,4,True,16,scores with hpo
WeightedEnsemble_L2,-38.10089083781702,0.0010344982147216797,61.67701292037964,0.00078582763671875,0.29961657524108887,2,True,5,scores with hpo
LightGBM_BAG_L4/T2,-38.2244887750586,0.0012650489807128906,467.71216225624084,8.368492126464844e-05,30.310116052627563,4,True,15,scores with hpo
LightGBM_BAG_L4/T1,-38.39965685670067,0.0012621879577636719,468.0134744644165,8.082389831542969e-05,30.611428260803223,4,True,14,scores with hpo
LightGBM_BAG_L1/T2,-38.76673787964734,0.00012421607971191406,30.31719732284546,0.00012421607971191406,30.31719732284546,1,True,2,scores with hpo
LightGBM_BAG_L1/T3,-38.872806745323665,0.00012445449829101562,31.06019902229309,0.00012445449829101562,31.06019902229309,1,True,3,scores with hpo
LightGBM_BAG_L1/T1,-40.19946547965269,0.00013113021850585938,29.866416215896606,0.00013113021850585938,29.866416215896606,1,True,1,scores with hpo
CatBoost_BAG_L1/T1,-58.34403633612129,0.00012230873107910156,89.74694848060608,0.00012230873107910156,89.74694848060608,1,True,4,scores with hpo
